province,night_lights,daylight
aceh,0.3023177981765619,9544399595.37107
sumatera utara,0.11028380228921172,9594708984.37049
sumatera barat,0.0022708223776520082,10714222475.908363
riau,9.923181316081694,10463745163.306622
jambi,13.12493693147809,11630318602.212896
sumatera selatan,0.6023588919342747,13208525223.25215
bengkulu,5.7504774809927355,13864781096.176462
lampung,0.6863642193500415,13400837885.24674
bangka belitung,0.29573449318253997,13462981656.993227
kepulauan riau,0.178535555168272,10979516715.580378
dki jakarta,49.035098670950894,15171410103.512537
jawa barat,16.339830051055493,13385094381.456202
jawa tengah,0.5719685354520258,14247142623.86511
di yogyakarta,19.619471852579153,15056004768.248665
jawa timur,32.552507266486,15748361744.128866
banten,1.357872006822907,14563769912.007353
bali,0.5349774532364289,17085687814.32103
nusa tenggara barat,0.2898865810530211,15817246984.764338
nusa tenggara timur,0.30377544143054896,15136293428.271658
kalimantan barat,0.06819715202818705,11003336661.483356
kalimantan tengah,0.2607390027120113,11611544509.179686
kalimantan selatan,0.261298013578988,12163123645.64528
kalimantan timur,0.16332923154925205,12008778441.384212
kalimantan utara,0.1388422186597497,12700773684.0
sulawesi utara,1.534341037903625,14596815040.694874
sulawesi tengah,0.0,13137494737.270933
sulawesi selatan,0.3725856927216281,14109382534.044052
sulawesi tenggara,0.34830669888033344,14769029531.545889
gorontalo,5.77817314875148,14021009351.818317
sulawesi barat,0.22670131271825508,12674357165.061365
maluku,0.25607766798579534,12516439202.314222
maluku utara,1.4925593883536763,14759703220.718952
papua,0.0,9892433526.043686
papua barat,0.04478980401191372,10792980406.709358
papua selatan,0.017916226735958437,12514558499.483662
papua tengah,0.20034666869634937,10298861577.12562
papua pegunungan,0.0036685495044922896,10253195500.649326
sidoarjo,24.650308171396095,15417526556.936588
bantul,5.330926168210951,15172741116.046024
jakarta pusat,47.96725017294405,15187339801.771881
aceh selatan,0.24980407694286955,10083049765.727707
aceh tenggara,0.11202184576903283,9553913581.57789
aceh timur,0.18910904344872612,9714018978.270794
aceh tengah,0.1535296780879312,9439681892.09965
aceh barat,0.2616632274335566,10034740643.950392
aceh besar,1.0793743403477356,9910719274.93141
pidie,0.6331844024182369,9202512168.28644
aceh utara,0.45703079194086804,9668135029.30648
simeulue,0.14563282219056692,12188319518.663784
aceh singkil,0.4211988961258985,10212804303.371754
bireuen,1.3128296693272767,9625139562.01493
aceh barat daya,0.5401422862541871,9438618762.222652
gayo lues,0.17639815385724217,8933727599.103634
aceh jaya,0.14801258119397115,9577486953.44832
nagan raya,0.16507311605427824,9624809574.195454
aceh tamiang,0.21513698700485762,9581609715.129211
bener meriah,0.29343413746678704,9569055032.553776
pidie jaya,0.8591500898254235,9364230839.44478
banda aceh,11.764996257746366,10102543749.316607
sabang,0.527377991612003,10520803910.156288
lhokseumawe,9.61415828981317,9664710551.453705
langsa,0.663809591381184,9776169234.931358
subulussalam,0.25965223751459643,10119811856.5262
tapanuli tengah,0.12188607143632602,10183835525.996637
tapanuli utara,0.28982256769941594,9504879011.093475
tapanuli selatan,0.030393662800315656,10491571885.729774
nias,0.33087869612801535,10733047045.644623
langkat,0.16834675693168108,9557775453.699327
karo,0.6872094176862211,9123421970.82206
deli serdang,4.712381114059442,9738229046.309286
simalungun,0.14418647437500037,9047095024.518963
asahan,0.6876152142850639,9660543072.522873
labuhanbatu,0.2046265892561373,10204653947.527376
dairi,0.8182525681252896,9200026444.406588
toba samosir,0.7577799809902223,9543154789.073786
mandailing natal,0.30802608381860613,10489462689.443354
nias selatan,0.29142304689503923,10931660939.08606
pakpak bharat,0.3130133634302797,9353167846.29138
humbang hasundutan,0.16025500790144726,9840094788.155075
samosir,0.060433614286337096,9322641837.231636
serdang bedagai,0.5140445920283122,9601252126.466211
batu bara,0.16702468097882844,10016184365.501501
padang lawas utara,0.2318756761847712,10220145577.197802
padang lawas,0.06968245662991582,10284014295.97214
labuhanbatu selatan,0.25604645257621317,10059335943.048098
labuhanbatu utara,0.2921954243942724,9747341647.264063
nias utara,0.23840740939400523,11636707081.35486
nias barat,0.3024313054456589,10941488427.302309
medan,18.298299325390474,9444989346.09484
pematangsiantar,3.7104693372962747,9558236357.250685
sibolga,0.020110037754000953,10291901506.763529
tanjung balai,1.2557496660739396,10080338476.482487
binjai,5.038119158537525,9363639884.92064
tebing tinggi,3.6407524418500588,9899040729.45826
padang sidimpuan,0.3119986563904328,9962948386.386185
gunungsitoli,0.3373679938848814,10778814656.80552
pesisir selatan,0.0,12740306548.630959
solok,0.8110064576588986,10597024734.711397
sijunjung,0.031781673374156376,10750318792.991306
tanah datar,0.06166995450628993,10988323603.713953
padang pariaman,0.08583886229397054,11643676183.178312
agam,0.001450907466604096,11595602726.483774
lima puluh kota,0.5298095104605848,10804610647.301136
pasaman,0.3580286353715293,10243585469.56471
kepulauan mentawai,0.4211988961258985,10212804303.371754
dharmasraya,0.411142339074552,11861894236.097637
solok selatan,0.21446278195645324,11500604838.431978
pasaman barat,0.03615893022983116,11377586033.48952
padang,0.4211988961258985,10212804303.371754
sawahlunto,0.0676225930685208,10720114643.450691
padang panjang,0.31598568438073454,11067177040.78885
bukittinggi,0.09890096615898622,11039066440.114372
payakumbuh,1.965361495755664,10756489730.985401
pariaman,0.30499921593711526,11743976212.0
kampar,0.1674428311929754,10772329742.4636
indragiri hulu,0.5476627109485893,11336859202.269472
bengkalis,0.325012743582561,10433387783.344374
indragiri hilir,0.05834670534864296,10950933028.433054
pelalawan,0.39183764303912516,10495539779.580177
rokan hulu,0.19422214184583472,10644620671.552925
rokan hilir,0.0011650832770785458,10614625523.042974
siak,0.3243399502536694,10231015222.298103
kuantan singingi,0.36460125005925836,11745006475.452143
kepulauan meranti,0.21449283298700295,10732357017.860762
pekanbaru,3.5961476312594924,10411338413.294003
dumai,10.135553813884316,10620914615.18933
kerinci,0.08519267985571859,10911465949.22938
merangin,0.09760594221212229,12411489297.03194
sarolangun,0.2165395353613296,12612731774.939928
batanghari,0.3829354459816323,12034687887.523577
muaro jambi,0.33165906007642665,11604464295.509092
tanjung jabung barat,0.3835186520914907,11018125852.775173
tanjung jabung timur,0.36655334277085566,12061337215.587196
bungo,0.4643773055481075,11990862531.190392
tebo,0.5687326195637344,12216039165.39566
sungai penuh,0.003193854238297677,11020234814.484255
ogan komering ulu,0.21406422275591455,13284848973.570549
ogan komering ilir,0.16382226590613927,12329954528.872982
muara enim,0.41756016574817845,13600478910.854975
lahat,0.4508382619892097,12952990259.823174
musi rawas,0.4253858942353407,12899213322.82888
musi banyuasin,0.6560893770721798,12730709937.374952
banyuasin,0.47734778914305515,12415920917.24148
